period,Coal,Hydro,Natural Gas,Nuclear,Other,Petroleum,Solar,Wind
2024-06-01T00,174,3193,8621,2269,-820,40,16716,2648
2024-06-01T01,178,4019,9585,2268,-921,36,16058,3635
2024-06-01T02,279,5401,9441,2262,-59,37,13441,3786
2024-06-01T03,321,6937,10284,2263,1742,46,8063,3765
2024-06-01T04,391,7857,11387,2265,4939,46,1596,3840
2024-06-01T05,370,7399,11511,2265,4385,46,138,4410
2024-06-01T06,241,7054,10729,2266,3627,46,122,4653
2024-06-01T07,180,6568,9659,2268,1874,46,139,4763
2024-06-01T08,277,6169,8850,2269,773,46,112,4422
2024-06-01T09,353,5873,7847,2271,1064,46,200,4597
2024-06-01T10,290,5441,7759,2270,464,46,204,4664
2024-06-01T11,277,5128,7498,2271,277,46,188,4682
2024-06-01T12,301,5100,6397,2272,496,46,139,4423
2024-06-01T13,285,5332,6090,2273,373,46,144,4412
2024-06-01T14,288,4610,5863,2274,540,46,533,4367
2024-06-01T15,224,3792,4108,2273,522,46,4840,3918
2024-06-01T16,230,2513,5758,2273,-1343,46,11343,3841
2024-06-01T17,281,2036,7009,2274,-1721,46,13835,4113
2024-06-01T18,223,1953,7040,2270,-1783,46,15361,4158
2024-06-01T19,210,1900,8018,2266,-2716,46,16061,4054
2024-06-01T20,212,2042,8362,2266,-3243,46,16915,4317
2024-06-01T21,178,2034,8348,2267,-3113,46,16806,4484
2024-06-01T22,175,2173,8203,2269,-2912,46,16716,4734
2024-06-01T23,175,2254,7403,2270,-2181,46,15995,5114
2024-06-02T00,176,2306,6968,2271,-1315,46,15461,5569
2024-06-02T01,179,2561,6539,2272,-559,46,15146,5422
2024-06-02T02,224,3656,5667,2272,551,46,12642,5539
2024-06-02T03,179,5963,5605,2274,1317,46,8084,5658
2024-06-02T04,175,6873,5195,2271,5179,46,1751,5814
2024-06-02T05,174,6750,5583,2270,5922,46,241,5729
2024-06-02T06,175,6614,5336,2270,5490,46,205,5757
2024-06-02T07,176,6349,5212,2270,2922,46,208,5670
2024-06-02T08,178,6285,5180,2270,1367,46,208,5453
2024-06-02T09,228,6117,4084,2272,1669,46,209,5296
2024-06-02T10,186,5978,4065,2272,822,46,209,5077
2024-06-02T11,175,5767,4006,2272,367,46,209,5080
2024-06-02T12,175,5714,4574,2272,-134,46,207,5132
2024-06-02T13,176,5884,4709,2272,-72,46,210,5174
2024-06-02T14,176,5430,4977,2273,366,46,583,5183
2024-06-02T15,174,4115,4861,2273,317,46,4530,5098
2024-06-02T16,174,2313,6303,2273,-796,46,9932,4884
2024-06-02T17,174,2071,7365,2274,-1626,46,12371,4599
2024-06-02T18,173,2182,8253,2272,-2233,46,13689,4436
2024-06-02T19,173,2117,7907,2271,-2131,46,14148,3996
2024-06-02T20,174,1881,7952,2272,-2295,46,14561,3690
2024-06-02T21,173,1640,7866,2271,-2075,46,15030,3838
2024-06-02T22,174,1992,8403,2270,-2792,46,15638,4530
2024-06-02T23,174,2054,7918,2272,-1885,46,14820,4917
2024-06-03T00,175,2722,7145,2273,-896,46,13624,5199
2024-06-03T01,174,3634,6101,2272,50,46,12994,5260
2024-06-03T02,176,4810,6211,2273,573,46,11586,5551
2024-06-03T03,226,6591,6519,2274,1159,46,6999,5517
2024-06-03T04,179,7467,6675,2275,4704,46,1309,5500
2024-06-03T05,175,7421,6746,2275,4944,46,218,5709
2024-06-03T06,175,7148,6525,2274,4177,46,211,5695
2024-06-03T07,174,6971,5581,2271,2708,46,213,5550
2024-06-03T08,173,6525,5193,2269,1626,46,207,5401
