period,Battery storage,Coal,Geothermal,Hydro,Natural Gas,Nuclear,Other,Petroleum,Pumped storage,Solar,Solar with integrated battery storage,Wind
2025-01-01T00,0.0,606.0,0.0,1842.0,10518.0,2269.0,-3395.0,46.0,0.0,12367.0,0.0,460.0
2025-01-01T01,0.0,798.0,0.0,2510.0,8302.0,2269.0,628.0,46.0,0.0,7740.0,0.0,463.0
2025-01-01T02,0.0,960.0,0.0,3424.0,9826.0,2269.0,4791.0,46.0,0.0,1128.0,0.0,467.0
2025-01-01T03,0.0,1090.0,0.0,3852.0,9985.0,2269.0,6402.0,46.0,0.0,36.0,0.0,428.0
2025-01-01T04,0.0,1056.0,0.0,4165.0,10197.0,2269.0,5240.0,45.0,0.0,45.0,0.0,358.0
2025-01-01T05,0.0,935.0,0.0,4406.0,10418.0,2270.0,3943.0,46.0,0.0,64.0,0.0,374.0
2025-01-01T06,0.0,791.0,0.0,4125.0,10731.0,2271.0,2892.0,45.0,0.0,59.0,0.0,476.0
2025-01-01T07,0.0,631.0,0.0,3819.0,10588.0,2273.0,2488.0,45.0,0.0,8.0,0.0,577.0
2025-01-01T08,0.0,627.0,0.0,3784.0,10698.0,2273.0,1968.0,46.0,0.0,-49.0,0.0,664.0
2025-01-01T09,11.0,685.0,430.0,3387.0,10321.0,2274.0,1606.0,46.0,0.0,-49.0,0.0,697.0
2025-01-01T10,-1.0,781.0,440.0,2754.0,9671.0,2274.0,2152.0,46.0,0.0,-52.0,0.0,485.0
2025-01-01T11,0.0,723.0,435.0,2713.0,9360.0,2272.0,2167.0,46.0,0.0,-52.0,0.0,351.0
2025-01-01T12,11.0,712.0,434.0,2713.0,9347.0,2271.0,1658.0,46.0,0.0,-52.0,0.0,370.0
2025-01-01T13,0.0,708.0,444.0,2701.0,9221.0,2271.0,1171.0,46.0,0.0,-51.0,0.0,416.0
2025-01-01T14,-1.0,721.0,450.0,2795.0,9208.0,2270.0,973.0,46.0,0.0,-50.0,0.0,423.0
