Date,HR,PGE,SCE,SDGE,VEA,CAISO
2021-05-01,1,10388.45,10452.72,2050.44,48.87,22940.48
2021-05-01,2,9942.0,9825.23,1924.76,46.15,21738.14
2021-05-01,3,9623.47,9405.01,1850.56,44.36,20923.4
2021-05-01,4,9434.22,9152.21,1800.66,44.31,20431.4
2021-05-01,5,9422.43,9073.58,1778.62,44.81,20319.44
2021-05-01,6,9584.73,9164.94,1803.93,46.44,20600.04
2021-05-01,7,9748.04,9181.69,1825.94,47.25,20802.93
2021-05-01,8,10049.45,9143.41,1808.06,49.65,21050.58
2021-05-01,9,10069.87,9312.59,1708.06,50.38,21140.9
2021-05-01,10,9612.93,9232.17,1605.97,53.22,20504.28
2021-05-01,11,9440.64,9444.55,1580.44,55.87,20521.5
2021-05-01,12,9061.2,9510.26,1452.04,59.55,20083.05
2021-05-01,13,8842.97,9694.47,1443.69,60.29,20041.42
2021-05-01,14,8847.49,9923.62,1383.88,63.86,20218.86
2021-05-01,15,9035.5,10369.12,1498.26,64.56,20967.43
2021-05-01,16,9147.96,10582.61,1566.46,68.77,21365.8
2021-05-01,17,9568.96,10931.76,1771.29,73.46,22345.47
2021-05-01,18,10488.19,11118.87,2005.63,75.95,23688.63
2021-05-01,19,11466.7,11187.36,2214.08,74.84,24942.98
2021-05-01,20,11821.94,11467.04,2326.35,70.47,25685.81
2021-05-01,21,11910.78,11544.68,2376.58,66.02,25898.06
2021-05-01,22,11602.58,11143.92,2259.36,59.88,25065.74
2021-05-01,23,10996.17,10577.95,2130.8,54.59,23759.51
2021-05-01,24,10308.31,9937.0,1982.26,49.61,22277.18
2021-05-02,1,9822.17,9397.48,1892.78,46.2,21158.64
2021-05-02,2,9424.29,9010.82,1800.3,43.32,20278.73
2021-05-02,3,9173.11,8692.23,1728.9,41.29,19635.53
2021-05-02,4,9029.33,8499.67,1689.98,41.19,19260.17
2021-05-02,5,9032.83,8481.11,1682.62,42.22,19238.77
2021-05-02,6,9123.15,8569.31,1696.52,43.77,19432.75
2021-05-02,7,9137.18,8564.3,1742.63,44.9,19489.02
2021-05-02,8,8906.7,8597.24,1777.25,45.64,19326.82
2021-05-02,9,8403.14,8508.76,1842.21,45.48,18799.59
2021-05-02,10,8168.48,8374.75,1931.23,45.78,18520.24
2021-05-02,11,8028.91,8372.87,1838.64,45.76,18286.17
2021-05-02,12,7746.55,8356.83,1829.13,47.22,17979.73
2021-05-02,13,7557.73,8372.02,1793.75,49.65,17773.16
2021-05-02,14,7630.98,8390.5,1684.05,52.16,17757.69
2021-05-02,15,7890.66,8543.43,1669.39,55.7,18159.18
2021-05-02,16,8449.24,8811.86,1748.88,59.05,19069.03
2021-05-02,17,9266.44,9181.86,1793.74,61.51,20303.55
2021-05-02,18,10368.91,9808.62,1992.5,63.44,22233.47
2021-05-02,19,11086.24,10265.96,2165.78,63.46,23581.44
2021-05-02,20,11476.26,10697.67,2271.48,62.19,24507.59
2021-05-02,21,11854.42,10975.11,2314.55,60.86,25204.93
2021-05-02,22,11586.76,10689.05,2214.11,56.4,24546.32
2021-05-02,23,10803.51,10093.84,2056.2,51.49,23005.03
2021-05-02,24,10021.1,9482.96,1895.11,46.84,21446.01
2021-05-03,1,9544.11,9139.15,1822.25,43.61,20549.12
2021-05-03,2,9219.11,8851.18,1747.99,42.07,19860.36
2021-05-03,3,9060.48,8549.65,1714.42,40.89,19365.44
2021-05-03,4,9013.55,8505.33,1689.4,41.54,19249.81
2021-05-03,5,9170.07,8783.69,1724.04,43.91,19721.72
2021-05-03,6,9621.97,9331.44,1853.08,47.83,20854.32
2021-05-03,7,10262.95,9844.05,1967.69,50.52,22125.21
2021-05-03,8,10897.4,10195.9,2066.25,51.61,23211.16
2021-05-03,9,11162.56,10258.06,2045.55,50.71,23516.89
2021-05-03,10,10801.88,10207.09,1868.96,49.27,22927.21
2021-05-03,11,10455.36,10185.18,1628.88,48.71,22318.14
2021-05-03,12,10264.1,10299.8,1592.6,48.71,22205.22
2021-05-03,13,10170.84,10512.27,1600.04,49.46,22332.61
2021-05-03,14,10379.28,10693.54,1507.11,50.62,22630.55
2021-05-03,15,10728.59,11142.9,1579.77,52.72,23503.98
2021-05-03,16,10992.87,11550.96,1666.29,55.56,24265.69
2021-05-03,17,11412.66,12041.17,1962.91,59.18,25475.91
2021-05-03,18,12284.16,12431.57,2160.24,62.46,26938.42
2021-05-03,19,13131.97,12592.17,2317.32,64.37,28105.83
2021-05-03,20,13462.19,12676.88,2458.66,63.4,28661.13
2021-05-03,21,13595.24,12740.8,2507.24,61.7,28904.97
2021-05-03,22,13082.65,12238.81,2381.24,56.97,27759.67
2021-05-03,23,12089.38,11278.21,2172.64,51.97,25592.2
2021-05-03,24,11159.61,10448.46,2003.01,47.27,23658.36
2021-05-04,1,10570.78,9890.3,1937.63,44.61,22443.31
2021-05-04,2,10165.54,9453.82,1851.19,42.86,21513.41
2021-05-04,3,9899.53,9205.56,1790.48,41.93,20937.51
2021-05-04,4,9823.93,9065.28,1744.05,42.98,20676.23
2021-05-04,5,9931.72,9181.38,1765.91,45.45,20924.47
2021-05-04,6,10359.38,9619.69,1857.53,50.01,21886.62
2021-05-04,7,10946.57,10068.81,1978.96,52.93,23047.27
2021-05-04,8,11266.68,10347.39,2059.03,52.7,23725.81
2021-05-04,9,11267.77,10682.24,1980.22,51.6,23981.83
2021-05-04,10,11313.25,10718.26,1771.5,49.4,23852.4
2021-05-04,11,11189.94,10925.76,1643.88,49.71,23809.28
2021-05-04,12,10793.22,11149.93,1547.39,52.28,23542.82
2021-05-04,13,10774.5,11639.03,1559.54,55.6,24028.67
2021-05-04,14,11006.89,11899.93,1640.98,59.48,24607.29
2021-05-04,15,11336.3,12430.07,1734.46,64.31,25565.15
2021-05-04,16,11921.81,12980.88,1855.07,69.28,26827.06
2021-05-04,17,12613.23,13377.94,2045.87,73.23,28110.26
2021-05-04,18,13467.17,13809.45,2288.41,76.12,29641.14
2021-05-04,19,14171.33,13855.36,2420.9,75.84,30523.43
2021-05-04,20,14331.43,13733.4,2534.8,72.34,30671.97
2021-05-04,21,14210.51,13586.6,2542.27,68.35,30407.72
2021-05-04,22,13588.35,12913.19,2426.71,61.58,28989.83
2021-05-04,23,12516.05,11898.43,2227.17,54.85,26696.5
2021-05-04,24,11502.04,10983.99,2042.39,49.7,24578.12
2021-05-05,1,10871.44,10268.51,1934.68,45.87,23120.5
2021-05-05,2,10390.61,9830.37,1854.48,43.68,22119.14
2021-05-05,3,10097.88,9529.72,1795.47,42.02,21465.09
2021-05-05,4,9917.89,9319.07,1762.56,42.41,21041.93
2021-05-05,5,10077.06,9394.53,1784.11,44.5,21300.2
2021-05-05,6,10538.9,9840.4,1884.43,47.86,22311.59
2021-05-05,7,11034.97,10234.06,1992.03,50.63,23311.69
2021-05-05,8,11420.84,10644.67,2057.99,51.84,24175.34
2021-05-05,9,11594.16,10857.76,2019.03,52.92,24523.87
2021-05-05,10,11214.05,11060.33,1955.03,53.3,24282.71
2021-05-05,11,11031.95,11359.07,1793.88,53.88,24238.78
2021-05-05,12,10866.47,11705.18,1695.0,58.84,24325.49
2021-05-05,13,11073.97,12361.08,1712.83,63.89,25211.78
2021-05-05,14,11558.59,12757.84,1643.71,70.69,26030.83
2021-05-05,15,12157.28,13202.9,1742.63,76.37,27179.18
2021-05-05,16,12829.25,13707.49,1863.06,80.25,28480.05
2021-05-05,17,13523.66,14021.3,2006.38,83.46,29634.81
2021-05-05,18,14255.21,14284.5,2249.31,85.07,30874.09
2021-05-05,19,14832.37,14136.8,2344.36,83.51,31397.04
2021-05-05,20,14760.19,13811.55,2477.45,79.82,31129.02
2021-05-05,21,14531.66,13515.74,2534.23,74.26,30655.89
2021-05-05,22,13836.61,12832.92,2392.3,66.88,29128.71
2021-05-05,23,12693.07,11930.78,2219.94,60.0,26903.79
2021-05-05,24,11687.77,11020.77,2030.91,53.63,24793.08
2021-05-06,1,11023.32,10417.02,1944.49,49.29,23434.12
2021-05-06,2,10489.97,9880.77,1869.49,46.05,22286.29
2021-05-06,3,10175.69,9559.46,1802.16,44.24,21581.55
2021-05-06,4,9979.21,9393.66,1763.6,44.49,21180.96
2021-05-06,5,10078.78,9424.63,1795.28,45.56,21344.25
2021-05-06,6,10457.94,9862.93,1879.2,48.16,22248.22
2021-05-06,7,11003.33,10353.77,2007.79,50.8,23415.68
2021-05-06,8,11309.2,10759.03,2164.33,52.55,24285.11
2021-05-06,9,11070.96,11090.97,2191.18,53.64,24406.74
2021-05-06,10,10820.21,10990.74,2005.57,55.95,23872.47
2021-05-06,11,10586.96,11029.6,1767.1,60.44,23444.11
2021-05-06,12,10597.98,11248.12,1689.88,65.4,23601.38
2021-05-06,13,10595.2,11331.99,1621.18,70.9,23619.27
2021-05-06,14,10816.18,11734.37,1623.72,74.67,24248.94
2021-05-06,15,11100.85,12003.82,1693.25,78.39,24876.32
2021-05-06,16,11042.5,12406.48,1785.0,80.97,25314.95
2021-05-06,17,11403.06,12789.12,1934.89,83.2,26210.26
2021-05-06,18,12181.69,12811.04,2196.82,84.59,27274.15
2021-05-06,19,12923.43,12715.66,2269.6,82.19,27990.88
2021-05-06,20,13262.62,12712.38,2407.22,77.97,28460.19
2021-05-06,21,13425.93,12733.79,2427.06,73.87,28660.65
2021-05-06,22,12972.84,12213.71,2322.17,66.88,27575.6
2021-05-06,23,12142.04,11423.28,2157.21,60.23,25782.76
2021-05-06,24,11289.73,10664.48,1976.49,54.16,23984.87
2021-05-07,1,10803.78,10128.89,1902.49,49.86,22885.03
2021-05-07,2,10313.17,9717.58,1835.68,46.26,21912.69
2021-05-07,3,10051.07,9457.57,1783.43,44.05,21336.12
2021-05-07,4,10001.82,9392.62,1744.57,42.72,21181.74
2021-05-07,5,10305.45,9424.55,1774.47,44.97,21549.44
2021-05-07,6,10802.24,9879.94,1866.68,47.5,22596.36
2021-05-07,7,11359.95,10319.53,1996.79,50.4,23726.67
2021-05-07,8,11757.78,10703.45,2088.93,52.94,24603.1
2021-05-07,9,11821.45,11013.24,1962.05,54.72,24851.45
2021-05-07,10,11369.11,10898.8,1819.93,56.28,24144.12
2021-05-07,11,10500.51,10795.08,1652.94,58.45,23006.98
2021-05-07,12,10181.98,10610.86,1514.08,60.25,22367.17
2021-05-07,13,10069.06,10657.65,1446.55,63.93,22237.18
2021-05-07,14,10175.88,10750.52,1419.33,67.24,22412.96
2021-05-07,15,10506.92,10857.95,1484.67,71.01,22920.54
2021-05-07,16,10786.42,11088.76,1595.67,73.79,23544.64
2021-05-07,17,11032.64,11468.63,1850.13,76.53,24427.94
2021-05-07,18,11493.1,11769.19,2079.11,78.3,25419.7
2021-05-07,19,12241.75,11790.1,2199.94,75.78,26307.57
2021-05-07,20,12693.27,11948.35,2343.91,71.72,27057.25
2021-05-07,21,12939.32,12106.37,2405.56,67.6,27518.85
2021-05-07,22,12653.28,11648.71,2310.6,61.41,26674.0
2021-05-07,23,11961.69,11006.38,2164.49,55.59,25188.15
2021-05-07,24,11250.83,10370.82,2029.71,49.97,23701.33
2021-05-08,1,10704.85,9802.38,1941.79,46.35,22495.39
2021-05-08,2,10260.73,9327.64,1857.79,43.77,21489.93
2021-05-08,3,10020.76,9039.5,1771.05,41.91,20873.21
2021-05-08,4,10224.24,8882.57,1740.89,41.36,20889.05
2021-05-08,5,10046.53,8852.73,1722.77,42.36,20664.38
2021-05-08,6,10197.23,8983.92,1759.77,43.92,20984.85
2021-05-08,7,10452.31,9024.88,1777.94,45.73,21300.86
2021-05-08,8,10519.85,9248.62,1849.79,47.15,21665.41
2021-05-08,9,10147.5,9251.52,1827.51,47.03,21273.57
2021-05-08,10,9610.91,9201.8,1605.48,46.91,20465.1
2021-05-08,11,9107.82,8991.38,1447.78,47.64,19594.63
2021-05-08,12,8818.34,8763.77,1300.32,48.62,18931.05
2021-05-08,13,8710.09,8711.75,1199.91,51.61,18673.36
2021-05-08,14,8878.6,8870.87,1192.26,55.17,18996.9
2021-05-08,15,9502.38,9127.78,1234.44,59.17,19923.78
2021-05-08,16,10209.86,9580.2,1377.46,62.46,21229.97
2021-05-08,17,11123.75,10165.44,1564.14,66.69,22920.04
2021-05-08,18,11888.64,10830.15,1911.9,69.42,24700.11
2021-05-08,19,12034.53,11105.18,2091.59,68.45,25299.75
2021-05-08,20,12613.56,11258.78,2247.98,65.68,26186.01
2021-05-08,21,12821.88,11472.09,2318.06,62.68,26674.71
2021-05-08,22,12523.49,11178.88,2240.8,57.83,26001.0
2021-05-08,23,11794.09,10658.33,2118.63,52.79,24623.85
2021-05-08,24,11034.29,10045.23,1966.07,47.9,23093.49
2021-05-09,1,10451.33,9331.56,1867.07,44.57,21694.52
2021-05-09,2,10021.76,8965.15,1789.54,42.57,20819.02
2021-05-09,3,9930.18,8720.37,1740.2,41.2,20431.95
2021-05-09,4,9712.23,8554.19,1698.27,41.44,20006.13
2021-05-09,5,9632.49,8439.39,1688.65,42.33,19802.87
2021-05-09,6,9684.55,8449.02,1709.9,43.68,19887.15
2021-05-09,7,9731.34,8443.36,1738.99,45.09,19958.77
2021-05-09,8,9929.9,8594.56,1804.49,46.33,20375.29
2021-05-09,9,9721.13,8596.72,1915.3,46.56,20279.72
2021-05-09,10,9229.31,8629.46,1927.52,45.35,19831.64
2021-05-09,11,8886.49,8596.73,1829.92,46.67,19359.81
2021-05-09,12,8608.27,8466.69,1584.49,48.64,18708.09
2021-05-09,13,8647.81,8131.05,1236.58,52.79,18068.23
2021-05-09,14,8917.54,8113.63,1147.18,56.57,18234.92
2021-05-09,15,9378.11,8370.41,1195.76,61.28,19005.54
2021-05-09,16,10131.88,8984.4,1307.7,65.06,20489.04
2021-05-09,17,11000.13,9624.6,1561.95,69.01,22255.71
2021-05-09,18,11613.0,10180.29,1851.88,71.73,23716.91
2021-05-09,19,11954.28,10589.93,2031.47,71.63,24647.31
2021-05-09,20,12326.01,10844.39,2223.92,68.47,25462.79
2021-05-09,21,12492.66,11150.31,2287.48,64.96,25995.4
2021-05-09,22,12201.06,11050.67,2209.89,58.73,25520.34
2021-05-09,23,11372.21,10348.12,2076.89,52.74,23849.96
2021-05-09,24,10503.96,9696.79,1906.57,47.29,22154.61
2021-05-10,1,9940.28,9238.3,1829.18,43.96,21051.73
2021-05-10,2,9548.03,8901.95,1764.61,41.81,20256.4
2021-05-10,3,9292.84,8824.41,1727.65,40.81,19885.71
2021-05-10,4,9194.6,8726.12,1696.2,41.73,19658.65
2021-05-10,5,9361.39,8842.64,1730.59,43.74,19978.36
2021-05-10,6,9852.37,9384.16,1836.77,47.46,21120.75
2021-05-10,7,10472.0,9977.32,1972.81,49.78,22471.9
2021-05-10,8,10960.65,10578.97,2103.07,48.7,23691.39
2021-05-10,9,11089.34,11003.84,2186.49,50.48,24330.18
2021-05-10,10,10725.82,11052.71,2169.25,50.76,23998.54
2021-05-10,11,10512.96,11092.45,2008.81,52.55,23666.77
2021-05-10,12,10458.26,11313.22,1743.3,54.21,23569.0
2021-05-10,13,10656.33,11171.41,1607.46,58.46,23493.65
2021-05-10,14,11047.62,11048.5,1515.63,62.87,23674.62
2021-05-10,15,11581.34,11036.25,1540.62,66.13,24224.34
2021-05-10,16,12288.11,11136.44,1609.47,69.91,25103.93
2021-05-10,17,13099.43,11340.18,1807.84,73.13,26320.57
2021-05-10,18,13658.93,11681.81,2067.26,75.69,27483.69
2021-05-10,19,14330.6,11875.43,2185.51,76.22,28467.76
2021-05-10,20,14499.35,12126.54,2362.08,71.99,29059.96
2021-05-10,21,14393.63,12363.85,2410.16,68.05,29235.68
2021-05-10,22,13813.55,11905.81,2304.65,60.96,28084.98
2021-05-10,23,12708.91,11046.65,2135.56,54.46,25945.57
2021-05-10,24,11671.7,10283.0,1956.34,49.34,23960.39
2021-05-11,1,10955.97,9753.73,1894.69,45.71,22650.1
2021-05-11,2,10474.79,9389.55,1824.79,43.38,21732.51
2021-05-11,3,10151.43,9135.44,1768.32,41.91,21097.1
2021-05-11,4,9999.05,8976.97,1734.46,42.06,20752.54
2021-05-11,5,10104.57,9109.21,1735.05,44.12,20992.95
2021-05-11,6,10465.69,9603.07,1835.87,48.19,21952.83
2021-05-11,7,11000.15,10105.91,1975.32,50.9,23132.27
2021-05-11,8,11351.97,10658.1,2099.69,50.94,24160.7
2021-05-11,9,11203.28,11029.15,2165.32,50.21,24447.95
2021-05-11,10,11021.67,10859.82,2123.38,49.87,24054.74
