Date,HR,PGE,SCE,SDGE,VEA,CAISO,HE,CAISO Total,Unnamed: 7,Spring DST change occurs on March 9 in HE2,daily_mean_load_lag_1,daily_std_load_lag_1,daily_mean_load_lag_7,daily_std_load_lag_7,daily_mean_load_lag_15,daily_std_load_lag_15,daily_mean_load_lag_30,daily_std_load_lag_30
2025-09-01,15.0,14127.65626,18192.80945,2836.193622,124.1749945,35280.8344344,,,,,,,,,,,,
2025-09-01,16.0,15257.61563,19110.52851,3245.29568,130.4079851,37743.847833,,,,,,,,,,,,
2025-09-01,17.0,16417.13014,19669.77654,3417.841359,133.565827,39638.313764,,,,,,,,,,,,
2025-09-01,18.0,17846.96519,19655.05497,3632.763536,133.5719612,41268.35568,,,,,,,,,,,,
2025-09-01,19.0,18726.6564,18997.25188,3704.901809,127.8175776,41556.627575,,,,,,,,,,,,
2025-09-01,24.0,14007.47862,14700.94947,2861.960784,74.95937547,31645.3479,,,,,,,,,,,,
2025-09-01,21.0,17551.76573,17671.23933,3488.544586,105.5295374,38817.078537,,,,,,,,,,,,
2025-09-01,22.0,16507.34621,17039.08865,3365.199778,93.83722103,37005.472075,,,,,,,,,,,,
2025-09-01,23.0,15135.43034,15799.40063,3078.995767,83.17467027,34097.001397,,,,,,,,,,,,
2025-09-01,14.0,13107.18295,18247.88062,2881.701241,139.4679056,34376.2327805999,,,,,,,,,,,,
2025-09-01,20.0,18431.00766,18409.17047,3573.637267,118.1900481,40532.006719,,,,,,,,,,,,
2025-09-01,13.0,12549.65962,18349.75108,2737.03127,170.042208,33806.4843186,,,,,,,,,,,,
2025-09-01,6.0,10741.55023,10923.62459,2298.470022,55.28170083,24018.926757,,,,,,,,,,,,
2025-09-01,11.0,11973.18779,17996.29353,2869.820627,229.02792,33068.329778,,,,,,,,,,,,
2025-09-01,12.0,12186.95892,19053.77626,2654.142571,240.4904984,34135.368429,,,,,,,,,,,,
2025-09-01,2.0,11823.25205,12437.15088,2612.768531,60.95149717,26934.123459,,,,,,,,,,,,
2025-09-01,3.0,11385.99949,11752.02006,2469.120882,57.27097911,25664.4116389999,,,,,,,,,,,,
2025-09-01,4.0,10983.76334,11149.21107,2367.816698,55.05666875,24555.848426,,,,,,,,,,,,
2025-09-01,5.0,10687.00641,10894.97701,2320.23753,54.30016071,23956.521252,,,,,,,,,,,,
2025-09-01,1.0,12531.42826,13212.09019,2752.220163,66.28438747,28562.022861,,,,,,,,,,,,
2025-09-01,7.0,11106.45549,11167.81942,2320.101222,54.84361359,24649.220151,,,,,,,,,,,,
2025-09-01,8.0,11498.1057,12737.46485,2526.647007,68.54824242,26830.76583,,,,,,,,,,,,
2025-09-01,9.0,12137.08725,15854.42044,2950.873044,208.158617,31150.539457,,,,,,,,,,,,
2025-09-01,10.0,12050.87625,17642.05895,2783.522811,218.6922502,32695.150372,,,,,,,,,,,,
2025-09-02,2.0,12459.84852,13452.25553,2961.983742,63.92357723,28938.011448,,,,,,,,,,,,
2025-09-02,24.0,13521.17277,15513.06687,3064.755131,67.3984031,32166.392721,,,,,,,,,,,,
2025-09-02,23.0,14436.68967,16935.18377,3325.276629,72.2138808,34769.3635979999,,,,,,,,,,,,
2025-09-02,22.0,15570.93887,18368.60644,3554.192085,78.7759117,37572.513412,,,,,,,,,,,,
2025-09-02,21.0,16492.43448,19011.76817,3742.149808,85.08629756,39331.43948,,,,,,,,,,,,
2025-09-02,20.0,17206.32353,19740.89684,3865.975866,88.92813168,40902.125214,,,,,,,,,,,,
2025-09-02,19.0,17843.47988,20462.01303,4022.21928,88.72996473,42416.44216,,,,,,,,,,,,
2025-09-02,18.0,17430.66209,20751.74319,3966.741937,92.86198836,42242.0091997,,,,,,,,,,,,
2025-09-02,17.0,16522.00475,20484.59338,3635.666025,90.63632893,40732.9006687,,,,,,,,,,,,
2025-09-02,16.0,15770.36432,20891.30709,3471.175456,103.9029046,40236.7502311,,,,,,,,,,,,
2025-09-02,15.0,15039.38,20194.71577,3150.67307,130.5945685,38515.3636857,,,,,,,,,,,,
2025-09-02,1.0,13151.85454,13720.4583,2859.732601,69.48805973,29801.533626,,,,,,,,,,,,
2025-09-02,13.0,13545.69699,19185.91303,3166.983406,134.989211,36033.582698,,,,,,,,,,,,
2025-09-02,3.0,12008.22568,13443.71325,2840.06362,59.7554321,28351.758069,,,,,,,,,,,,
