Date,HE,PGE,SCE,SDGE,VEA,CAISO Total,daily_mean_load_lag_1,daily_std_load_lag_1,daily_mean_load_lag_7,daily_std_load_lag_7,daily_mean_load_lag_15,daily_std_load_lag_15,daily_mean_load_lag_30,daily_std_load_lag_30,Monthly_Price_Cents_per_kWh,Estimated_Hourly_Cost_USD
2022-06-01,,12597.93,13441.74,1567.96,76.07,,,,,,,,,,28.16,
2022-06-01,,12823.88,14175.12,1709.69,80.69,,,,,,,,,,28.16,
2022-06-01,,13303.56,14621.14,1925.75,84.61,,,,,,,,,,28.16,
2022-06-01,,14257.37,14878.57,2168.52,86.4,,,,,,,,,,28.16,
2022-06-01,,14865.62,14836.95,2310.01,85.56,,,,,,,,,,28.16,
2022-06-01,,12269.93,11640.2,2053.47,51.99,,,,,,,,,,28.16,
2022-06-01,,14770.1,14138.97,2506.57,74.4,,,,,,,,,,28.16,
2022-06-01,,14333.23,13731.71,2436.46,66.44,,,,,,,,,,28.16,
2022-06-01,,13330.26,12750.46,2243.61,58.14,,,,,,,,,,28.16,
2022-06-01,,12108.11,12808.18,1490.59,71.28,,,,,,,,,,28.16,
2022-06-01,,14998.64,14356.85,2427.26,80.48,,,,,,,,,,28.16,
2022-06-01,,11774.27,12260.07,1511.63,65.81,,,,,,,,,,28.16,
2022-06-01,,11288.44,11870.87,1637.44,61.04,,,,,,,,,,28.16,
2022-06-01,,11289.36,11686.71,1739.31,57.49,,,,,,,,,,28.16,
2022-06-01,,10697.67,10024.26,1967.87,46.14,,,,,,,,,,28.16,
2022-06-01,,10502.0,9455.43,1879.96,43.96,,,,,,,,,,28.16,
2022-06-01,,10227.6,9262.04,1814.31,43.93,,,,,,,,,,28.16,
2022-06-01,,10301.25,9338.82,1807.42,45.29,,,,,,,,,,28.16,
2022-06-01,,11108.22,10476.18,2063.51,48.6,,,,,,,,,,28.16,
2022-06-01,,11391.12,10089.86,2014.93,50.2,,,,,,,,,,28.16,
2022-06-01,,12240.21,10738.64,2239.9,52.77,,,,,,,,,,28.16,
2022-06-01,,12116.88,11304.52,2104.41,53.25,,,,,,,,,,28.16,
2022-06-01,,11519.36,11436.02,1906.26,54.74,,,,,,,,,,28.16,
2022-06-01,,10717.11,9680.43,1884.41,47.33,,,,,,,,,,28.16,
2022-06-02,,12675.05,13043.29,1439.12,78.63,,,,,,,,,,28.16,
2022-06-02,,13064.09,12439.77,2218.57,64.27,,,,,,,,,,28.16,
2022-06-02,,13996.87,13375.18,2403.57,72.31,,,,,,,,,,28.16,
2022-06-02,,12132.82,11558.34,2079.19,57.97,,,,,,,,,,28.16,
2022-06-02,,14402.77,14017.54,2419.41,83.47,,,,,,,,,,28.16,
2022-06-02,,14384.03,14429.82,2336.77,89.03,,,,,,,,,,28.16,
2022-06-02,,14020.25,14764.95,2219.62,91.98,,,,,,,,,,28.16,
2022-06-02,,13474.34,14652.3,2049.1,90.96,,,,,,,,,,28.16,
2022-06-02,,13031.81,14338.11,1869.82,89.86,,,,,,,,,,28.16,
2022-06-02,,12845.73,13734.0,1580.64,85.28,,,,,,,,,,28.16,
2022-06-02,,12295.41,12497.02,1476.03,71.9,,,,,,,,,,28.16,
2022-06-02,,14336.53,13885.46,2478.81,78.77,,,,,,,,,,28.16,
2022-06-02,,12215.55,12052.21,1675.09,59.37,,,,,,,,,,28.16,
2022-06-02,,11807.6,11824.47,2077.67,54.91,,,,,,,,,,28.16,
2022-06-02,,11862.7,11726.68,2210.24,52.27,,,,,,,,,,28.16,
2022-06-02,,11971.76,10910.84,2211.14,51.49,,,,,,,,,,28.16,
2022-06-02,,11401.66,10347.99,2022.0,49.81,,,,,,,,,,28.16,
2022-06-02,,11009.03,9999.73,1900.85,47.73,,,,,,,,,,28.16,
2022-06-02,,10668.57,9756.54,1817.56,44.3,,,,,,,,,,28.16,
2022-06-02,,10652.44,9716.59,1846.23,42.87,,,,,,,,,,28.16,
2022-06-02,,10681.6,9821.21,1837.79,42.82,,,,,,,,,,28.16,
2022-06-02,,10986.92,10367.92,1925.21,44.18,,,,,,,,,,28.16,
2022-06-02,,11533.13,10875.95,2019.63,47.26,,,,,,,,,,28.16,
2022-06-02,,12321.22,12172.34,1571.92,64.8,,,,,,,,,,28.16,
2022-06-03,,12980.03,12246.66,1529.84,87.46,,,,,,,,,,28.16,
2022-06-03,,13130.34,12754.39,1651.87,92.19,,,,,,,,,,28.16,
2022-06-03,,13247.32,13115.35,1842.78,96.15,,,,,,,,,,28.16,
2022-06-03,,13141.28,13480.97,2099.22,96.66,,,,,,,,,,28.16,
2022-06-03,,11896.26,11272.77,2089.19,54.07,,,,,,,,,,28.16,
2022-06-03,,13337.32,13018.86,2370.83,76.9,,,,,,,,,,28.16,
2022-06-03,,13309.5,12754.55,2407.9,66.33,,,,,,,,,,28.16,
2022-06-03,,12585.12,11995.99,2246.97,59.94,,,,,,,,,,28.16,
2022-06-03,,12741.78,11925.16,1439.22,83.16,,,,,,,,,,28.16,
2022-06-03,,13316.2,13240.48,2266.08,85.38,,,,,,,,,,28.16,
2022-06-03,,12128.5,11594.73,1412.24,77.64,,,,,,,,,,28.16,
2022-06-03,,13480.78,13048.52,2463.74,71.76,,,,,,,,,,28.16,
2022-06-03,,11875.65,12127.0,1984.61,66.66,,,,,,,,,,28.16,
2022-06-03,,12130.95,12202.22,2040.47,61.77,,,,,,,,,,28.16,
2022-06-03,,12333.92,12022.52,2257.7,57.72,,,,,,,,,,28.16,
2022-06-03,,12221.86,11142.43,2248.49,55.52,,,,,,,,,,28.16,
2022-06-03,,11689.81,10595.96,2036.64,51.84,,,,,,,,,,28.16,
2022-06-03,,10881.53,10169.59,1915.3,49.31,,,,,,,,,,28.16,
