Date,PGE,SCE,SDGE,VEA,HE,CAISO Total,daily_mean_load_lag_1,daily_std_load_lag_1,daily_mean_load_lag_7,daily_std_load_lag_7,daily_mean_load_lag_15,daily_std_load_lag_15,daily_mean_load_lag_30,daily_std_load_lag_30,Monthly_Price_Cents_per_kWh,Estimated_Hourly_Cost_USD
2025-07-01,11108.95471,14703.93842,1642.046242,136.6748938,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.58,0.0
2025-07-01,11121.522344583333,14744.760794166668,1648.638807375,137.30830771666666,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.58,0.0
2025-07-01,11134.089979166669,14785.583168333334,1655.23137275,137.94172163333334,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.58,0.0
2025-07-01,11146.65761375,14826.4055425,1661.8239381249998,138.57513555,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.58,0.0
2025-07-01,11159.225248333332,14867.227916666669,1668.4165035,139.20854946666668,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.58,0.0
2025-07-01,11171.792882916669,14908.050290833333,1675.009068875,139.84196338333334,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.58,0.0
2025-07-01,11184.3605175,14948.872665,1681.60163425,140.4753773,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.58,0.0
2025-07-01,11196.928152083334,14989.695039166669,1688.194199625,141.10879121666667,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.58,0.0
2025-07-01,11209.495786666666,15030.517413333331,1694.7867649999998,141.74220513333333,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.58,0.0
2025-07-01,11222.06342125,15071.3397875,1701.379330375,142.37561905,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.58,0.0
2025-07-01,11234.631055833332,15112.162161666669,1707.97189575,143.00903296666667,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.58,0.0
2025-07-01,11247.198690416666,15152.984535833331,1714.564461125,143.64244688333335,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.58,0.0
2025-07-01,11259.766325,15193.80691,1721.1570265,144.2758608,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.58,0.0
2025-07-01,11272.333959583331,15234.629284166667,1727.749591875,144.90927471666666,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.58,0.0
2025-07-01,11284.901594166666,15275.451658333332,1734.34215725,145.54268863333334,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.58,0.0
2025-07-01,11297.46922875,15316.2740325,1740.934722625,146.17610255,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.58,0.0
2025-07-01,11310.036863333333,15357.096406666667,1747.527288,146.80951646666668,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.58,0.0
2025-07-01,11322.604497916664,15397.918780833334,1754.1198533749998,147.44293038333333,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.58,0.0
2025-07-01,11335.1721325,15438.741155,1760.71241875,148.07634430000002,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.58,0.0
2025-07-01,11347.739767083332,15479.563529166668,1767.304984125,148.70975821666667,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.58,0.0
2025-07-01,11360.307401666663,15520.385903333334,1773.8975495,149.34317213333333,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.58,0.0
2025-07-01,11372.87503625,15561.2082775,1780.490114875,149.97658605,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.58,0.0
2025-07-01,11385.442670833332,15602.030651666666,1787.08268025,150.60999996666666,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.58,0.0
2025-07-01,11398.010305416668,15642.853025833334,1793.675245625,151.24341388333335,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.58,0.0
