Date,HE,PGE,SCE,SDGE,VEA,CAISO Total,daily_mean_load_lag_1,daily_std_load_lag_1,daily_mean_load_lag_7,daily_std_load_lag_7,daily_mean_load_lag_15,daily_std_load_lag_15,daily_mean_load_lag_30,daily_std_load_lag_30,Monthly_Price_Cents_per_kWh,Estimated_Hourly_Cost_USD,daily_mean_cost_lag_1,daily_std_cost_lag_1,daily_mean_cost_lag_7,daily_std_cost_lag_7,daily_mean_cost_lag_15,daily_std_cost_lag_15,daily_mean_cost_lag_30,daily_std_cost_lag_30
2019-08-01,11.0,12903.184180829574,14240.956697502754,2380.728102708976,86.4217119278343,29611.289598701645,30812.351517535502,4879.770131636922,33587.97254683844,5527.183511867612,29975.8542609788,4656.6157756172415,27536.277482891383,3690.5024018135177,19.78,5857113.082623186,6125495.481686058,970098.3021694203,6677288.942311482,1098804.0821592817,5959199.827082586,925735.2161927077,5474211.963598807,733671.8774805277
2019-08-01,2.0,11765.980399616596,11760.618219625412,2130.00437129764,66.79027958219852,25723.393649426907,30812.351517535502,4879.770131636922,33587.97254683844,5527.183511867612,29975.8542609788,4656.6157756172415,27536.277482891383,3690.5024018135177,19.78,5088087.263856642,6125495.481686058,970098.3021694203,6677288.942311482,1098804.0821592817,5959199.827082586,925735.2161927077,5474211.963598807,733671.8774805277
2019-08-01,3.0,11343.238002225413,11198.643100182348,2052.028332777157,61.75024985436068,24655.65987760104,30812.351517535502,4879.770131636922,33587.97254683844,5527.183511867612,29975.8542609788,4656.6157756172415,27536.277482891383,3690.5024018135177,19.78,4876889.523789486,6125495.481686058,970098.3021694203,6677288.942311482,1098804.0821592817,5959199.827082586,925735.2161927077,5474211.963598807,733671.8774805277
2019-08-01,4.0,11141.851324948102,10897.362647607037,2008.133605419727,57.67212448429711,24105.0205291888,30812.351517535502,4879.770131636922,33587.97254683844,5527.183511867612,29975.8542609788,4656.6157756172415,27536.277482891383,3690.5024018135177,19.78,4767973.060673545,6125495.481686058,970098.3021694203,6677288.942311482,1098804.0821592817,5959199.827082586,925735.2161927077,5474211.963598807,733671.8774805277
2019-08-01,5.0,11179.507699401787,10951.73044443742,2034.9439565452467,57.71816802596217,24223.90059588135,30812.351517535502,4879.770131636922,33587.97254683844,5527.183511867612,29975.8542609788,4656.6157756172415,27536.277482891383,3690.5024018135177,19.78,4791487.537865331,6125495.481686058,970098.3021694203,6677288.942311482,1098804.0821592817,5959199.827082586,925735.2161927077,5474211.963598807,733671.8774805277
2019-08-01,7.0,12269.196799421092,11920.46921256257,2267.446005806888,61.21746930709077,26518.32925268333,30812.351517535502,4879.770131636922,33587.97254683844,5527.183511867612,29975.8542609788,4656.6157756172415,27536.277482891383,3690.5024018135177,19.78,5245325.526180762,6125495.481686058,970098.3021694203,6677288.942311482,1098804.0821592817,5959199.827082586,925735.2161927077,5474211.963598807,733671.8774805277
2019-08-01,8.0,12702.28746339306,12393.147493332732,2401.9471761322084,67.59825852347883,27564.980067773315,30812.351517535502,4879.770131636922,33587.97254683844,5527.183511867612,29975.8542609788,4656.6157756172415,27536.277482891383,3690.5024018135177,19.78,5452353.057405562,6125495.481686058,970098.3021694203,6677288.942311482,1098804.0821592817,5959199.827082586,925735.2161927077,5474211.963598807,733671.8774805277
2019-08-01,9.0,12863.038633844624,12889.21386502516,2430.4932636089966,73.87090504215323,28256.616032601367,30812.351517535502,4879.770131636922,33587.97254683844,5527.183511867612,29975.8542609788,4656.6157756172415,27536.277482891383,3690.5024018135177,19.78,5589158.651248551,6125495.481686058,970098.3021694203,6677288.942311482,1098804.0821592817,5959199.827082586,925735.2161927077,5474211.963598807,733671.8774805277
2019-08-01,10.0,12860.308715000969,13455.627350268918,2372.3768293912667,80.53274325691096,28768.845117626992,30812.351517535502,4879.770131636922,33587.97254683844,5527.183511867612,29975.8542609788,4656.6157756172415,27536.277482891383,3690.5024018135177,19.78,5690477.564266619,6125495.481686058,970098.3021694203,6677288.942311482,1098804.0821592817,5959199.827082586,925735.2161927077,5474211.963598807,733671.8774805277
2019-08-01,12.0,13050.426207701856,15104.791555848831,2437.280067503849,92.47648599127535,30684.9738802392,30812.351517535502,4879.770131636922,33587.97254683844,5527.183511867612,29975.8542609788,4656.6157756172415,27536.277482891383,3690.5024018135177,19.78,6069487.833511313,6125495.481686058,970098.3021694203,6677288.942311482,1098804.0821592817,5959199.827082586,925735.2161927077,5474211.963598807,733671.8774805277
