date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,dew_point_2m_mean,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,cloudcover_mean,et0_fao_evapotranspiration,pressure_msl_mean,weathercode,cdd,hdd
2020-03-01,7.018749,10.3,2.25,3.9236596,6.921777,-0.67749214,3.1666667,77.61345,96.15613,59.68778,0.0,0.0,0.0,14.05845,27.0,6.14,6.14,70.416664,1.2187324,1025.7876,0.0,10.981251
2020-03-02,5.4083333,8.3,2.05,2.3102653,4.792797,-0.90216446,0.78125,73.99402,94.220856,48.63134,0.0,0.0,0.0,9.726665,23.4,9.46,9.46,65.5,1.3339834,1026.7876,0.0,12.591667
2020-03-03,7.260416,11.25,3.25,4.0762873,8.365146,-0.6530404,1.6041666,67.93442,87.42936,53.515648,0.0,0.0,0.0,15.315873,26.28,13.99,13.99,53.916668,2.1147575,1026.1666,0.0,10.739584
2020-03-04,5.6145825,10.25,1.2,1.7180758,6.421815,-2.772208,-2.2979167,59.57353,84.95313,32.2155,0.0,0.0,0.0,13.104198,26.28,17.74,17.74,1.5416666,2.5091467,1030.1083,0.0,12.385418
2020-03-05,6.352083,10.45,2.3,2.4587855,7.0318384,-2.1435857,0.33958337,66.66571,85.921295,47.142273,0.0,0.0,0.0,14.904173,30.599998,17.77,17.77,32.208332,2.3963642,1024.2417,0.0,11.647917
2020-03-06,8.470834,13.2,3.6,5.510105,9.655525,0.78159666,4.6854167,78.55843,99.29802,55.76407,0.1,0.1,0.0,17.884428,32.760002,12.55,12.55,51.791668,1.8303764,1015.9458,0.0,9.529166
2020-03-07,10.441667,15.8,6.55,8.455226,14.958378,3.5170512,7.370834,82.28011,94.63291,59.595295,0.0,0.0,0.0,15.484185,27.359999,15.75,15.75,33.041668,2.3251834,1016.58325,0.0,7.5583334
2020-03-08,11.454165,15.65,7.4,8.480438,12.829973,3.8418293,7.366667,77.0535,93.13423,56.392128,1.7000002,1.7000002,0.0,19.483284,36.719997,16.7,16.7,73.541664,2.5457478,1013.38763,0.0,6.5458345
2020-03-09,8.660417,10.25,5.45,5.845619,7.604272,2.5111933,7.4041667,91.840904,94.6371,87.33635,11.0,11.0,0.0,19.011953,33.12,2.72,2.72,83.916664,0.51743317,1015.4041,0.0,9.339583
2020-03-10,7.810417,12.25,3.15,5.0795093,9.004552,0.2916336,3.810417,77.68586,97.25234,50.6364,0.0,0.0,0.0,13.1041975,24.84,13.86,13.86,28.833334,1.9105455,1020.67914,0.0,10.189583
2020-03-11,11.124999,16.3,7.1,8.011991,12.83909,4.2579384,4.8541665,66.53214,91.12634,45.550537,0.0,0.0,0.0,17.076298,33.48,17.95,17.95,51.208332,3.027368,1018.8833,0.0,6.875001
2020-03-12,12.477081,17.85,7.45,10.0213585,15.951202,1.3828716,7.820833,74.46634,89.92067,54.686806,0.0,0.0,0.0,31.581665,54.0,15.29,15.29,78.041664,2.6331377,1018.4959,0.0,5.5229187
2020-03-13,5.204166,9.1,2.4,1.3414164,4.3075113,-0.8530898,1.5124999,78.559814,96.51544,54.132816,1.5000001,1.5000001,0.0,32.90408,57.96,6.32,6.32,41.916668,1.1505717,1026.8292,0.0,12.795834
2020-03-14,8.291665,14.35,4.25,4.7318826,10.545186,0.6653571,1.472917,63.614353,91.900185,37.297073,0.0,0.0,0.0,20.192118,36.0,18.52,18.52,1.4583334,2.7764163,1019.88324,0.0,9.708335
2020-03-15,11.285416,18.6,6.05,7.6773915,16.086355,1.677434,2.33125,56.169586,76.66178,28.982721,0.0,0.0,0.0,23.18579,40.32,19.37,19.37,55.875,3.7245083,1021.1917,0.0,6.7145844
2020-03-16,10.279166,13.7,6.95,7.4173756,10.824205,2.7402449,5.1666665,71.45129,89.87659,55.374516,0.0,0.0,0.0,16.676977,30.960001,12.19,12.19,80.291664,2.0416286,1021.00836,0.0,7.720834
2020-03-17,13.510418,20.7,5.7,12.061557,20.029762,3.1160522,8.647917,74.6761,96.25564,48.98799,0.0,0.0,0.0,11.246759,23.039999,18.62,18.62,65.666664,3.1258674,1015.49994,0.0,4.489582
2020-03-18,16.566666,22.35,9.55,13.043733,20.516401,4.827339,6.0770836,50.956192,83.05822,32.42018,0.0,0.0,0.0,26.009842,48.96,19.53,19.53,16.458334,5.0063457,1010.8708,0.0,1.4333344
2020-03-19,11.377084,17.35,7.65,8.170713,13.597631,3.8700027,0.7625,51.42712,75.90173,27.33455,0.0,0.0,0.0,16.954432,28.08,20.33,20.33,0.375,3.6644804,1016.86255,0.0,6.622916
2020-03-20,16.972918,22.6,10.55,14.309794,19.91606,6.031926,8.516666,58.816303,77.636375,41.694035,0.0,0.0,0.0,21.578989,38.16,19.81,19.81,6.4583335,4.3549438,1010.2415,0.0,1.0270824
2020-03-21,18.372915,26.25,10.75,16.632448,25.915106,5.5932055,10.795834,62.896107,84.16719,40.7114,0.0,0.0,0.0,29.275326,55.079998,19.13,19.13,74.458336,4.4331217,1010.9124,0.37291527,0.0
2020-03-22,12.616666,18.1,7.0,9.56747,15.209473,4.690439,4.1458335,58.951138,88.9342,36.541893,0.0,0.0,0.0,24.023088,42.48,19.36,19.36,80.375,3.6052322,1019.67914,0.0,5.383334
2020-03-23,13.581248,19.85,9.05,11.715382,18.002132,7.142318,6.7333336,66.45592,89.40873,37.62743,0.0,0.0,0.0,11.384198,22.68,19.98,19.98,4.7916665,3.4531062,1020.15424,0.0,4.4187517
2020-03-24,15.291669,20.35,11.45,11.783459,16.642063,8.426281,5.0875,52.136333,71.21822,31.960821,0.5,0.5,0.0,21.028437,36.719997,19.44,19.44,60.458332,4.488833,1015.87933,0.0,2.708331
2020-03-25,14.345833,16.35,11.6,13.520729,15.772743,8.69927,12.872916,91.05344,98.058075,81.25531,13.400001,13.400001,0.0,17.373497,36.0,9.54,9.54,91.458336,1.4660407,1010.37506,0.0,3.6541672
