date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,dew_point_2m_mean,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,cloudcover_mean,et0_fao_evapotranspiration,pressure_msl_mean,weathercode,cdd,hdd
2019-01-01,-2.1354167,2.4,-5.1,-6.1927466,-1.299303,-9.396456,-10.135416,56.794727,76.222496,28.77727,0.0,0.0,0.0,8.435069,17.64,10.74,10.74,49.625,1.1166884,1039.475,0.0,20.135416
2019-01-02,-1.4708334,4.0,-4.3,-5.473799,0.23635054,-8.168085,-8.897916,60.875885,83.413315,25.079039,0.0,0.0,0.0,10.805998,13.679999,10.84,10.84,2.0,1.1702957,1036.5582,0.0,19.470833
2019-01-03,2.8291671,6.1,-2.75,-0.8475632,2.105575,-6.6863565,-1.8624997,72.528694,97.5115,51.14961,3.2,3.2,0.0,11.384198,23.759998,9.79,9.79,72.5,1.163654,1033.1458,0.0,15.170833
2019-01-04,1.2833334,2.75,-0.15,-2.719403,-1.0587649,-4.725156,-0.35,89.2369,97.50746,68.506226,1.5000001,1.4000001,0.07,13.979871,24.48,1.93,1.93,100.0,0.35557392,1030.9375,0.0,16.716667
2019-01-05,0.9854167,3.45,-1.3,-2.911494,-0.23871851,-4.908538,-2.7104166,76.952065,88.3518,61.281147,1.1,0.1,0.7,12.682018,25.919998,5.44,5.44,93.958336,0.7367338,1031.4458,0.0,17.014584
2019-01-06,0.98333335,3.35,-1.15,-2.2571328,0.3939309,-4.5296845,-2.1708336,79.83855,88.87706,66.228645,0.0,0.0,0.0,8.942214,16.56,6.7,6.7,86.208336,0.7119636,1031.4001,0.0,17.016666
2019-01-07,1.30625,3.4,-2.7,-2.0384004,0.12482643,-6.198865,-1.4645834,82.01206,91.86272,73.136826,0.0,0.0,0.0,11.592894,20.519999,2.15,2.15,86.375,0.41508687,1031.2666,0.0,16.69375
2019-01-08,0.8916665,5.15,-2.2,-4.0620203,0.20352173,-7.042825,-7.8874993,53.36972,90.12305,33.471848,0.0,0.0,0.0,18.35647,30.599998,10.27,10.27,79.25,1.6832302,1035.7748,0.0,17.108334
2019-01-09,0.14375001,2.1,-1.65,-3.4680388,-1.3781066,-5.5018215,-2.7687502,81.58391,95.32168,64.747375,2.1000001,0.0,1.4700001,11.720751,20.519999,4.14,4.14,91.875,0.5736821,1032.0834,0.0,17.85625
2019-01-10,1.6958333,4.2,-1.8,-1.0877908,1.8088193,-4.7890654,-0.9604168,83.01046,96.73603,68.65787,0.1,0.1,0.0,5.991594,16.199999,8.41,8.41,82.958336,0.8823662,1027.7834,0.0,16.304167
2019-01-11,1.1208333,2.35,-0.8,-1.6368003,-0.23240328,-4.075905,0.33750007,94.57964,99.63902,88.8545,3.4,0.20000005,2.24,6.9899354,14.04,1.9,1.9,83.458336,0.29210582,1024.996,0.0,16.879168
2019-01-12,1.40625,6.1,-2.35,-1.6969229,3.515749,-6.137719,-0.90625,85.523705,98.19417,64.48166,0.0,0.0,0.0,8.759178,20.519999,9.02,9.02,69.666664,0.95042044,1027.1,0.0,16.59375
2019-01-13,2.345833,7.95,-2.35,-0.6445076,5.2953053,-6.205307,-0.3708334,83.360565,96.031746,61.94936,0.0,0.0,0.0,9.0645685,18.359999,11.05,11.05,54.291668,1.1990227,1028.0707,0.0,15.654167
2019-01-14,2.2645833,6.25,-1.0,-0.9413938,3.700471,-4.922291,-0.024999985,85.44864,98.90853,67.37687,0.0,0.0,0.0,19.483284,32.399998,7.38,7.38,73.416664,0.81609356,1027.4834,0.0,15.735416
2019-01-15,-1.0604167,2.75,-5.95,-6.212883,-3.4319975,-9.933636,-8.608335,57.709126,77.793945,39.445118,0.0,0.0,0.0,24.798225,44.639996,10.13,10.13,52.541668,1.3891144,1034.0541,0.0,19.060417
2019-01-16,-2.3020833,2.05,-4.75,-6.3317394,-2.0806978,-9.000425,-8.38125,64.833885,83.011154,41.14916,0.0,0.0,0.0,8.4042845,17.28,11.6,11.6,10.708333,1.1422403,1030.1832,0.0,20.302084
2019-01-17,-0.07291666,6.55,-3.9,-4.1556764,2.9605255,-8.087606,-6.947916,64.52508,86.34932,27.964867,0.0,0.0,0.0,10.587917,21.599998,11.68,11.68,3.0833333,1.394821,1028.4208,0.0,18.072916
2019-01-18,2.0666666,7.6,-1.85,-1.4792476,4.246994,-5.8391585,-1.93125,76.54353,91.57959,51.915195,0.0,0.0,0.0,9.957108,20.880001,9.63,9.63,48.041668,1.1689974,1024.05,0.0,15.933333
2019-01-19,2.172917,8.0,-2.7,-1.6539688,4.5134172,-7.226086,-2.2166665,73.342636,89.66869,55.797226,0.0,0.0,0.0,13.084402,21.96,8.86,8.86,27.708334,1.1947916,1025.6042,0.0,15.827084
2019-01-20,0.13124995,5.65,-4.8,-4.2048135,1.3400235,-9.163908,-7.44375,58.50493,77.080894,33.75587,0.0,0.0,0.0,11.503113,23.039999,11.49,11.49,51.0,1.4768504,1032.1249,0.0,17.86875
2019-01-21,0.5229167,7.45,-5.05,-3.7794266,2.8361664,-9.156079,-6.3312507,61.60915,76.1436,39.589867,0.0,0.0,0.0,14.039999,28.08,11.92,11.92,27.958334,1.5346247,1025.9667,0.0,17.477083
2019-01-22,0.966667,8.1,-3.6,-3.197835,3.6288724,-8.079551,-5.041667,66.591545,88.33049,38.437073,0.0,0.0,0.0,12.904882,25.199999,12.59,12.59,0.0,1.5181595,1022.89594,0.0,17.033333
2019-01-23,1.9333333,8.65,-2.6,-1.6251808,5.97758,-6.4478927,-3.4291668,69.56347,85.83942,45.265984,0.0,0.0,0.0,10.829958,14.04,12.39,12.39,0.0,1.5251083,1024.8917,0.0,16.066668
2019-01-24,3.8645833,10.45,-1.45,0.31815147,7.0418787,-5.512576,-1.3145834,70.29914,86.58608,49.970013,0.0,0.0,0.0,11.681987,23.759998,12.39,12.39,37.5,1.5582876,1025.1832,0.0,14.135417
2019-01-25,0.9624999,6.15,-4.4,-4.0985613,0.58788776,-8.780478,-6.043751,60.294926,84.12734,43.862324,0.0,0.0,0.0,21.434364,38.16,7.25,7.25,25.75,1.4182866,1034.4834,0.0,17.0375
2019-01-26,-0.2875001,4.05,-4.15,-4.3847823,0.059406757,-8.480815,-8.672917,56.551025,85.41095,31.717237,0.0,0.0,0.0,9.904906,22.319998,12.47,12.47,48.75,1.3751872,1034.4874,0.0,18.2875
2019-01-27,3.2062502,7.8,-1.75,-0.30893615,3.4523416,-6.0468597,-1.8791667,70.66011,85.75459,46.20638,0.0,0.0,0.0,13.910169,27.359999,12.25,12.25,47.333332,1.3965324,1026.5499,0.0,14.79375
2019-01-28,2.0979166,7.05,-2.5,-2.1943867,2.7229414,-6.4946623,-5.9791665,57.37528,82.00614,33.59501,0.0,0.0,0.0,13.513193,27.0,8.91,8.91,49.416668,1.4896371,1028.3584,0.0,15.902083
2019-01-29,3.4916668,7.0,-0.6,0.122668244,3.2425828,-4.399282,-1.7166668,69.88022,92.97416,50.458996,0.0,0.0,0.0,9.826088,22.68,7.85,7.85,71.5,1.0645617,1026.4333,0.0,14.508333
2019-01-30,1.9979166,5.0,-1.05,-2.5616853,1.6907444,-6.9698367,0.85416675,92.32471,98.56829,80.6331,24.399998,7.3999987,11.9,25.14852,41.399998,2.86,2.86,98.5,0.43688968,1025.5957,0.0,16.002083
2019-01-31,-0.2,3.95,-2.8,-4.713958,0.07361603,-7.303217,-4.3354163,75.95063,93.165924,44.32616,0.2,0.0,0.14,21.288757,38.519997,12.47,12.47,16.416666,1.2224427,1031.2793,0.0,18.2
2019-02-01,0.5333335,4.95,-2.7,-3.6232033,0.39361763,-7.1642914,-2.4937499,81.03889,93.17142,59.002834,0.0,0.0,0.0,14.336861,27.359999,12.54,12.54,25.166666,1.16901,1023.5459,0.0,17.466667
2019-02-02,3.2687502,4.8,0.85,-0.18842213,1.9085073,-3.3142443,1.94375,91.13053,97.557205,80.88683,0.8000001,0.8000001,0.0,18.218275,29.88,2.46,2.46,89.083336,0.40407628,1014.6416,0.0,14.73125
2019-02-03,1.9374996,5.05,-1.4,-1.4845771,1.5700169,-5.5613213,-0.43333337,84.56692,94.108116,74.01212,0.0,0.0,0.0,12.57426,21.599998,6.12,6.12,34.958332,0.70499915,1024.9167,0.0,16.0625
2019-02-04,2.84375,7.3,-0.95,-0.98196167,2.995308,-4.6604915,-1.5895834,73.50875,90.889206,53.611584,0.0,0.0,0.0,14.05845,24.48,8.59,8.59,84.541664,1.1856378,1023.9668,0.0,15.15625
2019-02-05,4.283334,10.7,1.0,1.1439992,7.6447563,-2.6669455,2.0166667,85.91686,96.46049,64.83525,0.0,0.0,0.0,11.841756,22.319998,11.78,11.78,73.583336,1.2925245,1016.17505,0.0,13.716666
2019-02-06,4.9500003,10.9,-1.3,0.8020485,8.707406,-8.755908,1.5979165,79.206085,96.48884,65.43835,0.5,0.5,0.0,31.435646,54.719997,9.42,9.42,91.791664,1.4502617,1018.3332,0.0,13.049999
2019-02-07,-0.98749995,2.35,-3.55,-7.1571193,-4.046178,-9.743325,-9.164582,54.24293,66.41693,43.86049,0.5,0.0,0.35,28.00837,52.92,13.24,13.24,80.125,1.7704394,1030.8958,0.0,18.9875
2019-02-08,-1.8874998,-0.3,-3.1,-6.6571426,-4.959139,-8.703617,-6.0187497,74.01359,87.79822,59.44339,2.5,0.0,1.75,17.477621,32.760002,4.57,4.57,92.541664,0.7082057,1030.4166,0.0,19.8875
2019-02-09,-0.59791666,1.75,-2.75,-5.5625625,-3.4578,-8.498056,-7.979166,57.889393,71.25353,48.195053,0.0,0.0,0.0,19.602652,37.44,12.21,12.21,88.0,1.4697092,1034.8207,0.0,18.597918
2019-02-10,-2.9145834,-0.65,-5.05,-6.9832606,-4.2790003,-8.8682,-6.704166,76.20936,92.72773,58.882652,0.3,0.0,0.21000001,16.489416,29.88,3.7,3.7,75.791664,0.56902504,1035.2667,0.0,20.914583
2019-02-11,-0.475,4.15,-3.2,-4.1423626,1.0585032,-6.9898806,-4.1625004,77.2796,90.73262,56.644855,0.0,0.0,0.0,11.525623,20.16,13.5,13.5,34.0,1.3518912,1033.5292,0.0,18.475
2019-02-12,1.9916667,5.0,-2.05,-1.625331,0.8072996,-6.2999744,-0.7833331,82.73252,94.72431,61.221294,1.0,1.0,0.0,12.864649,25.919998,8.28,8.28,93.041664,0.93954027,1032.9291,0.0,16.008333
